output noise; V**2 / Hz X,output noise; V**2 / Hz Y
213796.2089502209,2.696546250088202e-11
218776.1623949529,2.620649234839325e-11
223872.1138568315,2.545955436211529e-11
229086.7652767748,2.472466841202428e-11
234422.8815319896,2.400186299257949e-11
239883.2919019464,2.329117421020845e-11
245470.8915685003,2.259264471959398e-11
251188.6431509553,2.190632261350196e-11
257039.5782768835,2.123226027270123e-11
263026.7991895353,2.057051318652997e-11
269153.4803926885,1.992113874822394e-11
275422.8703338135,1.92841950381114e-11
281838.2931264422,1.865973960212293e-11
288403.1503126573,1.804782823613122e-11
295120.9226666352,1.744851378638905e-11
301995.1720401982,1.686184497658377e-11
309029.5432513555,1.628786527134689e-11
316227.7660168343,1.572661178664977e-11
323593.6569296246,1.517811425710185e-11
331131.1214825873,1.464239406780989e-11
338844.1561391986,1.41194633615403e-11
346736.8504525276,1.360932422645002e-11
354813.3892335714,1.311196797280214e-11
363078.0547700971,1.26273745032542e-11
371535.2290971682,1.215551178183994e-11
380189.3963205568,1.169633540438405e-11
389045.1449942761,1.124978827282011e-11
398107.1705534926,1.081580037427444e-11
407380.2778041079,1.039428866398335e-11
416869.3834703305,9.985157050836133e-12
426579.5188015876,9.588296482862524e-12
436515.8322401608,9.203585128409768e-12
446683.5921509578,8.83088864871863e-12
457088.1896148695,8.470060555449542e-12
467735.1412871926,8.120942647782865e-12
478630.0923226326,7.783365520966753e-12
489778.8193684403,7.457149139426792e-12
501187.2336272663,7.14210346629578e-12
512861.3839913587,6.838029141153901e-12
524807.4602497662,6.544718197822385e-12
537031.7963702462,6.261954814028593e-12
549540.8738576178,5.98951608470689e-12
562341.3251903421,5.727172811126573e-12
575439.9373371499,5.47469029846938e-12
588843.6553555817,5.231829154402964e-12
602559.5860743503,4.998346082454999e-12
616595.0018614745,4.77399466363979e-12
630957.3444801853,4.558526121119558e-12
645654.2290346473,4.351690062598678e-12
660693.4480075876,4.153235196457889e-12
676082.9753919732,3.962910017610898e-12
691830.9709189277,3.780463460023161e-12
707945.7843841289,3.605645513341153e-12
724435.9600749807,3.438207801602387e-12
741310.2413009079,3.27790412261442e-12
758577.5750291739,3.124490946970177e-12
776247.1166286815,2.977727876271232e-12
794328.234724271,2.837378060445492e-12
812830.5161640885,2.703208574438922e-12
831763.77110266,2.574990755029231e-12
851138.0382023652,2.45250049856883e-12
870963.589956069,2.33551852092088e-12
891250.9381337336,2.223830581034665e-12
912010.8393558975,2.117227669631652e-12
933254.3007969785,2.015506164800767e-12
954992.5860214231,1.918467956344968e-12
977237.2209557975,1.825920540675472e-12
999999.9999999865,1.737677088326541e-12
1023292.99228074,1.653556485942777e-12
1047128.548050885,1.573383354780914e-12
1071519.305237592,1.496988047624431e-12
1096478.19614317,1.42420662604213e-12
1122018.454301948,1.354880819829511e-12
1148153.621496867,1.288857970432919e-12
1174897.554939513,1.225990960075764e-12
1202264.434617396,1.166138128230596e-12
1230268.770812365,1.109163176978897e-12
1258925.41179415,1.054935066757765e-12
1288249.551693116,1.003327903824748e-12
1318256.738556389,9.542208207706926e-13
1348962.882591635,9.074978512483356e-13
1380384.264602866,8.630478000224383e-13
1412537.544622734,8.207641093684896e-13
1445439.770745907,7.805447227259326e-13
1479108.388168187,7.422919464801746e-13
1513561.248436187,7.059123106104435e-13
1548816.61891246,6.713164289098211e-13
1584893.192461091,6.384188593909751e-13
1621810.097358907,6.071379654263208e-13
1659586.907437537,5.773957781090699e-13
1698243.65246172,5.491178602653975e-13
1737800.828749351,5.22233172481548e-13
1778279.410038898,4.966739414771847e-13
1819700.858609958,4.723755310914235e-13
1862087.136662841,4.492763161128488e-13
1905460.71796322,4.273175591479054e-13
1949844.599758018,4.064432906798555e-13
1995262.314968851,3.866001924432073e-13
2041737.9446695,3.677374842034942e-13
2089296.13085401,3.498068140129795e-13
2137962.089502201,3.327621519844703e-13
2187761.623949521,3.16559687602723e-13
2238721.138568307,3.011577305816948e-13
2290867.65276774,2.865166152509208e-13
2344228.815319888,2.725986084455037e-13
2398832.919019455,2.593678208602368e-13
2454708.915684994,2.467901218173348e-13
2511886.431509543,2.348330573882843e-13
2570395.782768826,2.234657718018597e-13
2630267.991895343,2.126589320665306e-13
2691534.803926876,2.023846557255833e-13
2754228.703338126,1.926164416650153e-13
2818382.931264412,1.83329103884456e-13
2884031.503126563,1.744987081444114e-13
2951209.226666342,1.661025113988575e-13
3019951.720401971,1.581189039201398e-13
3090295.432513544,1.505273540252928e-13
3162277.660168332,1.433083553111294e-13
3235936.569296234,1.364433763069235e-13
3311311.214825861,1.299148124519716e-13
3388441.561391974,1.237059403105246e-13
3467368.504525264,1.178008739346676e-13
3548133.892335701,1.12184523288526e-13
3630780.547700958,1.068425546490889e-13
3715352.290971669,1.017613529017833e-13
3801893.963205554,9.692798564850894e-14
3890451.449942747,9.233016905198183e-14
3981071.705534912,8.795623533866661e-14
4073802.778041065,8.379510188800843e-14
4168693.83470329,7.983624183583989e-14
4265795.188015861,7.606965612437455e-14
4365158.322401592,7.248584693139686e-14
4466835.921509561,6.907579241595479e-14
4570881.896148679,6.583092271867515e-14
4677351.412871908,6.274309715733714e-14
4786300.923226308,5.980458256213435e-14
4897788.193684384,5.700803269513348e-14
5011872.336272643,5.434646870291302e-14
5128613.839913567,5.181326055163546e-14
5248074.602497642,4.940210939756161e-14
5370317.963702441,4.710703084680343e-14
5495408.738576157,4.492233906109258e-14
5623413.2519034,4.284263166770598e-14
5754399.373371476,4.086277543375039e-14
5888436.553555794,3.897789266701338e-14
6025595.86074348,3.718334830712767e-14
6165950.018614721,3.547473767226533e-14
6309573.44480183,3.384787482906887e-14
6456542.29034645,3.229878155379607e-14
6606934.480075852,3.082367685555191e-14
6760829.753919707,2.941896703268543e-14
6918309.709189251,2.808123623556259e-14
7079457.843841262,2.680723751020473e-14
7244359.60074978,2.55938842979513e-14
7413102.413009052,2.443824236831663e-14
7585775.750291712,2.333752216281753e-14
7762471.166286788,2.228907152866549e-14
7943282.347242682,2.129036882275802e-14
8128305.161640856,2.033901636662827e-14
8317637.711026571,1.943273423468145e-14
8511380.382023621,1.856935435854071e-14
8709635.89956066,1.77468149313203e-14
8912509.381337306,1.696315509652443e-14
9120108.393558944,1.62165099067818e-14
9332543.007969752,1.550510553883032e-14
9549925.860214196,1.482725475147725e-14
9772372.209557939,1.418135257402477e-14
10000000,1.356587221347311e-14
