net1 X,net1 Y,net11 X,net11 Y,I0.\1  X,I0.\1  Y
4.239874911419195e-05,0.1101419821011961,4.239874911419195e-05,0.1094060165036911,4.239874911419195e-05,1.095263232840113e-05
4.240874911419195e-05,0.110577751564582,4.240874911419195e-05,0.109838665367391,4.240874911419195e-05,1.09769765195505e-05
4.241874911419195e-05,0.1110142938925025,4.241874911419195e-05,0.1102717883846161,4.241874911419195e-05,1.103921634234686e-05
4.242874911419195e-05,0.1114516083955978,4.242874911419195e-05,0.1107059632778443,4.242874911419195e-05,1.106371794526532e-05
4.243874911419195e-05,0.1118896943832884,4.243874911419195e-05,0.1111406121239209,4.243874911419195e-05,1.112610553142375e-05
4.244874911419195e-05,0.112328551163777,4.244874911419195e-05,0.1115763101955119,4.244874911419195e-05,1.115076424870955e-05
4.245874911419196e-05,0.1127681780440487,4.245874911419196e-05,0.112012482018712,4.245874911419196e-05,1.121329932592179e-05
4.246874911419196e-05,0.1132085743298725,4.246874911419196e-05,0.1124497004067612,4.246874911419196e-05,1.123811485861486e-05
4.247874911419196e-05,0.1136497393258025,4.247874911419196e-05,0.1128873923446724,4.247874911419196e-05,1.13007971527327e-05
4.248874911419195e-05,0.1140916723351797,4.248874911419195e-05,0.1133261281765299,4.248874911419195e-05,1.132576920143174e-05
4.249874911419196e-05,0.1145343726601304,4.249874911419196e-05,0.1137653373560344,4.249874911419196e-05,1.138859843743732e-05
4.250874911419196e-05,0.1149778396015716,4.250874911419196e-05,0.1142055877483348,4.250874911419196e-05,1.141372670152615e-05
4.251874911419196e-05,0.1154220724592072,4.251874911419196e-05,0.1146463112856226,4.251874911419196e-05,1.147670260313772e-05
4.252874911419197e-05,0.1158670705315342,4.252874911419197e-05,0.1150880733442558,4.252874911419197e-05,1.150198678097857e-05
4.253874911419196e-05,0.1163128331158385,4.253874911419196e-05,0.1155303083448213,4.253874911419196e-05,1.156510907125727e-05
4.254874911419197e-05,0.1167593595082012,4.254874911419197e-05,0.1159735791649877,4.254874911419197e-05,1.159054885952249e-05
4.255874911419197e-05,0.1172066490034958,4.255874911419197e-05,0.1164173227236454,4.255874911419197e-05,1.165381726062418e-05
4.256874911419197e-05,0.1176547008953913,4.256874911419197e-05,0.1168620993898015,4.256874911419197e-05,1.167941235517389e-05
4.257874911419197e-05,0.1181035144763523,4.257874911419197e-05,0.1173073485906922,4.257874911419197e-05,1.174282658799185e-05
